Trf_Msg,Alpha_letters,Len_Of_Words,No_of_Chars,No_of_Sentences,No_of_digits,Num_chars,Special_chars,Target
bore housew chat date bt nation rate min landlin,62,14,95,4,4,13,8,1
tri call repli sm video mobil min unlimit text free camcord repli call del thur,102,26,143,1,2,14,0,1
give treat,22,7,33,1,0,0,7,0
nd time tri contact prize claim easi call per minut bt nation rate,102,29,159,4,5,19,7,1
gon na worri noth give money use,56,17,74,2,0,0,4,0
get gift year didnt get anyth bad,46,13,60,3,0,0,2,0
somewher beneath pale moon light someon think dream come true goodnit amp sweet dream,115,25,144,1,0,0,5,0
well pattern emerg friend tell drive come smoke tell weed fiend make smoke much imped thing see hesit,175,46,220,1,0,0,5,0
ow dey paid thousad told would call,33,11,55,1,2,5,5,0
im fine babe aint much tho saw scari movi yest quit funni want mrw afternoon town mall sumthin xx,97,25,127,4,2,2,4,0
reach home min,19,6,27,1,1,1,2,0
forgot work today wan na chat thing ok drop text free bore etc ring hope well nose essay xx,122,35,162,3,0,0,7,0
ha must walk everywher take tram cousin said walk vic market hotel,84,21,112,2,0,0,7,0
wan win meet greet westlif current tour unbreak untam unkempt text cost std text,104,27,161,4,11,16,12,1
pleas call custom servic repres freephon pm guarante cash prize,98,20,149,1,7,22,2,1
discuss mother ah,25,5,30,1,0,0,1,0
ok,2,1,3,1,0,0,1,0
sorri text amp drive coher see twenti,46,12,61,1,0,0,5,0
receiv week tripl echo rington shortli enjoy,59,13,73,2,0,0,3,1
place get room cheap,29,8,39,1,0,0,3,0
eek lot time especi sinc american pie like minut long stop sing,79,21,103,2,1,1,4,0
gran onlyfound afew day ago cusoon honi,37,8,48,1,0,0,5,0
select stay top british hotel noth holiday valu dial claim nation rate call bx sw ss,99,25,159,4,6,23,7,1
univers southern california,30,4,34,1,0,0,1,0
pick rayan macleran,30,7,37,1,0,0,1,0
gd lor go shop got stuff wan watch infern affair come lar,64,19,89,3,1,1,5,0
well ball time make call,24,6,31,3,0,0,2,0
wat time wan today,15,4,22,1,0,0,1,0
lt gt mca conform,22,7,36,2,0,0,7,0
oh ok wat ur email,15,6,23,1,0,0,4,0
ye princess go make moan,34,9,45,2,0,0,3,0
lol ok rememb til last nite,33,10,42,1,0,0,1,0
anyway mani good even,26,7,40,2,0,0,4,0
cool text,20,8,28,1,0,0,2,0
sorri vikki watch olav mandara movi kano trishul theatr wit frnd,67,15,84,1,0,0,4,0
happi babe woo hoo parti dude,38,12,52,2,0,0,3,0
take italian food pretti dress panti,59,15,78,3,0,0,4,0
wot thout gon na call txt bak luv,37,13,54,3,1,1,3,0
chosen receiv award pl call claim number collect award select receiv valu mobil custom,114,26,159,2,2,14,2,1
hold,18,5,23,1,0,0,1,0
dont flatter tell man mine two pint carlin ten minut pleas,70,16,93,1,0,0,7,0
hope scare,19,5,24,1,0,0,1,0
cant pick phone right pl send messag,40,11,51,2,0,0,1,0
home readi,14,6,22,1,0,0,4,0
pleas call custom servic repres freephon pm guarante cash prize,98,20,149,1,7,22,2,1
time get,17,6,23,1,0,0,1,0
liter bed like lt gt hour,46,14,65,1,0,0,5,0
ye reg ciao,14,5,21,1,0,0,2,0
mean websit ye,22,6,29,2,0,0,2,0
win cash prize prize worth,26,8,47,1,2,8,0,1
thank rington order refer number mobil charg tone arriv pleas call custom servic,114,22,156,1,4,16,4,1
lol could starv lose pound end day,50,16,66,1,0,0,1,0
yeah impress got,26,7,32,1,0,0,1,0
ok ok take care understand,26,7,34,2,0,0,2,0
motiv behind everi dark shine light wait find behind everi best friend alway trust love bslvyl,120,26,153,1,0,0,8,0
ya ok dinner,17,5,23,1,0,0,2,0
slept time,25,7,32,1,0,0,2,0
dont make ne plan nxt wknd coz want us come ok,54,16,69,1,0,0,0,0
school start stay weather like food social support system like friend school thing import,142,33,180,6,0,0,7,0
ha ha nan yalrigu heltini iyo kothi chikku share mani thing wit far told bodi even utter word abt ur trust much tell other plz nxt time dont use word ok chikku,186,54,255,1,0,0,21,0
noic text,24,7,31,2,0,0,2,0
hi di yiju meet pm esaplanad tonight,45,12,59,1,1,1,2,0
mobi pub quiz win high street prize know new duchess cornwal txt first name unsub stop sp,97,27,156,2,5,23,4,1
week savamob member offer access call detail savamob pobox la wu week savamob offer mobil,105,21,159,5,6,19,10,1
aight set free think could text blake address occur quit sure thought,104,33,138,2,0,0,6,0
hi dear saw dear happi batteri low,51,15,67,3,0,0,2,0
age abj,27,9,37,3,0,0,3,0
prof pass paper sem congrat student enna kalaachutaarama prof gud mrng,85,18,122,7,0,0,16,0
dont kick coco,23,7,29,1,0,0,1,0
fyi gon na call sporad start like lt gt bc doin shit,72,20,97,1,0,0,6,0
contact date servic someon know find call mobil landlin pobox ldn,107,26,149,2,3,14,2,1
tb persolvo chase us sinc sept definit pay thank inform ignor kath manchest,111,22,141,5,1,2,6,1
hope much fun without see tomorrow love jess,58,16,76,2,0,0,2,0
ok wont call disturb one know avoid burden,63,20,84,3,0,0,2,0
reach home bath liao call,38,13,56,1,0,0,7,0
loan purpos even bad credit tenant welcom call noworriesloan com,77,16,106,3,1,11,3,1
actual exam harder nbme,30,7,36,1,0,0,0,0
lot sick thing go round take easi hope feel better soon lol,65,17,84,4,0,0,3,0
god pick flower dippeditinadew lovingli touch itwhichturnedinto gift tomeandsaid friend,106,20,128,1,1,1,3,0
kick new season wk free goal news ur mobil txt ur club name eg villa,71,21,114,2,4,16,3,1
hey sathya till dint meet even singl time saw situat sathya,76,20,96,1,0,0,1,0
gam gone outstand inning,30,5,35,1,0,0,1,0
play smash bro lt gt religi,32,8,46,1,0,0,6,0
sir good morn hope good weekend call let know abl rais lt gt dad howev said would make rest avail mid feb amount still quit short hope would help good day abiola,207,57,276,6,0,0,12,0
hurri home soup done,19,5,25,2,0,0,2,0
check room befor activ,37,9,46,2,0,0,1,0
good afternoon love good see word ym get tm smart move slave smile drink coffe await,109,30,153,3,0,0,13,0
quit ok bit ex better go eat smth els feel guilti,52,17,74,1,0,0,7,0
orang bring rington time chart hero free hit week go rington pic wap stop receiv tip repli stop,121,28,154,3,0,0,5,1
lem know,22,6,27,1,0,0,1,0
privat account statement show un redeem point call identifi code expir,79,16,148,3,8,40,9,1
need stop go bed make fuck deal,51,13,63,1,0,0,0,0
love brother time talk english grin say hey muhommad penni say hello across sea,109,27,147,4,0,0,8,0
tri call repli sm video mobil min unlimit text free camcord repli call,94,24,135,1,2,14,1,1
hey doc pl want get nice shirt hubbi nice fite one budget lt gt help pl load card abi hw keep post luv mj,111,36,154,2,1,1,7,0
remain unconvinc elabor test willpow,58,13,70,1,0,0,1,0
life noth wen get everyth life everyth wen miss someth real valu peopl wil realiz absenc gud mrng,121,28,163,3,0,0,14,0
miss,17,6,24,2,0,0,2,0
answerin phone actual pretti reason hour sleepi,68,18,85,1,0,0,2,0
hey rite put evey mnth,30,10,49,1,1,2,3,0
go bed prin,20,7,26,1,0,0,0,0
think thank see tomo,37,9,48,1,0,0,0,0
dun drive go sch,24,9,35,1,1,1,1,0
home lei,16,6,24,1,0,0,3,0
gsoh good spam ladi could male gigolo join uk fastest grow men club repli oncal mjzgroup stop repli stop msg rcvd,114,28,167,6,5,16,10,1
ok come ur home half hour,38,12,49,1,0,0,0,0
secret admir look make contact find reveal think ur special call,94,25,132,1,2,12,3,1
hav frnd name ashwini ur colleg,37,11,48,1,0,0,1,0
ju finish lunch way home lor tot dun wan stay sch today,55,18,80,1,1,1,6,0
marrow come class,30,8,39,1,1,1,1,0
hot live fantasi call per min ntt ltd po box croydon cr wb nation rate call,75,21,122,1,6,23,1,1
pl send address sir,23,6,29,1,0,0,1,0
want lick pussi,23,7,32,1,0,0,3,0
yo gon na still stock tomorrow today tri get dubsack,58,16,75,2,0,0,4,0
urgent mobil number award ukp prize guarante call landlin claim valid hr ppm,91,19,141,4,5,24,6,1
see prolli yeah,19,6,25,1,0,0,2,0
thought could go dinner treat seem ok,45,13,60,3,0,0,4,0
stand away heart ach without wonder crave,109,34,154,6,0,0,9,0
sorri never hear unless book one kinda joke thet realli look skinni white girl one line much camera someth like cast look,179,45,230,5,0,0,10,0
,21,6,27,1,0,0,2,0
sure thing big man hockey elect go longer hour though,71,18,94,2,1,1,2,0
watch lor saw swatch one thk quit ok ard need nd opinion leh,59,19,87,2,2,4,5,0
hiya like hlday pic look horribl took mo how camp amrca thing speak soon serena,90,23,116,3,0,0,4,0
babe goe day miss alreadi love love kiss hope everyth goe well,86,23,126,4,0,0,13,0
yunni goin late,19,7,28,1,0,0,4,0
doc prescrib morphin caus pain med enough wait mom bring med kick fast gon na tri later,125,34,160,3,0,0,4,0
cool want go kappa meet outsid mu,46,14,60,1,0,0,1,0
hey sexi bun told ador loverboy hope rememb thank sister law meatbal grin love babe,112,29,153,4,0,0,10,0
may approv panalam post,42,10,55,1,0,0,5,0
spjanuari male sale hot gay chat cheaper call nation rate min cheap min peak stop text call min,95,25,157,3,7,28,11,1
sorri call later,17,5,22,1,0,0,2,0
dont thnk wrong call us,34,9,42,1,0,0,0,0
workin get job,24,9,36,2,0,0,5,0
done mean,26,9,34,1,0,0,1,0
ur luck love someon ur fortun love one love,58,17,77,2,0,0,3,0
hi babi ive got back work want see allday hope didnt piss phone today give call xxx,110,36,147,3,0,0,2,0
freemsg today day readi horni live town love sex fun game netcollex ltd per msg repli stop end,102,30,152,4,1,14,7,1
yahoo boy bring perf legal,42,12,55,2,0,0,2,0
need say anyth know outsid,41,13,54,2,0,0,1,0
ever one foot,27,7,34,1,0,0,1,0
got lt gt,13,5,22,1,0,0,5,0
good need receipt well done ye pleas tell number could ring,73,20,111,4,0,0,8,0
ever green quot ever told jerri cartoon person irrit alway one love vri much fail express gud nyt,113,30,160,2,0,0,16,0
leav wif lar wan carri meh heavi da num familiar,52,16,89,1,1,8,7,0
beauti truth express face could seen everyon depress heart could understood love one gud ni,117,26,153,1,1,1,9,0
infact happi new year see,53,14,67,2,0,0,1,0
simpson movi releas juli name band die start film green day blue day red day send,103,32,146,3,1,4,10,1
shame mayb cld meet hr tomo,36,11,48,2,0,0,3,0
lol would despit cramp like girl,45,12,57,1,0,0,1,0
wait cornwal hope tonight bad well rock night shite anyway go kip good night speak soon,118,36,161,4,0,0,4,0
pl help tell sura expect batteri hont pl send messag download movi thank,110,28,139,3,0,0,3,0
pleas call amanda regard renew upgrad current mobil handset free charg offer end today tel subject,117,28,160,3,3,11,5,1
found way get anoth app phone eh go net cafe take job geeee need babe crave see,113,35,158,5,0,0,9,0
work mon thur sat cant leh book liao day free,65,19,90,1,0,0,7,0
comin fetch us oredi,19,5,29,1,0,0,3,0
nanni address,18,4,22,1,0,0,2,0
urgent costa del sol holiday await collect call toclaim sae tc pobox stockport sk xh cost pm max min,96,23,161,4,8,26,13,1
haf eaten wat time wan come,26,9,38,2,1,1,2,0
want new video phone anytim network min half price line rental free text month repli call free deliveri,101,23,144,4,3,15,3,1
yo call get chanc friend mine want ask big order,70,21,92,1,0,0,2,0
singl singl answer fight plu said broke didnt repli,68,16,84,2,0,0,1,0
certainli put thing perspect someth like happen,64,11,74,1,0,0,0,0
got tv watch meh work today,28,9,40,2,1,1,2,0
felt convey reason ese,44,12,63,1,0,0,9,0
mobil month entitl updat latest colour mobil camera free call mobil updat co free,111,27,154,3,2,13,2,1
go got excit karaok type activ plan debat whether play footbal eve feel lazi though,108,23,134,4,0,0,6,0
told come wednesday,28,7,35,1,0,0,1,0
ok call mom instead fun,28,7,35,1,0,0,1,0
dear voucher holder claim week offer pc pleas go http www wtlp co uk text ts cs appli,84,23,112,2,0,0,12,1
well desper call armand,43,12,54,1,0,0,2,0
work right,20,6,27,1,0,0,1,0
congrat nokia video camera phone call call cost ppm ave call min vari mobil close post bcm ldn wc xx,97,24,157,2,9,33,2,1
heard anyth answer text guess flake said jb fantast,88,23,111,2,0,0,4,0
mmmmmm love much ahmad wait year begin everi second take closer side happi new year love,113,32,157,3,0,0,13,0
pl full name joke school co fee univers florida seem actual lt gt pl holla back,93,26,124,1,0,0,8,0
sorri call later,17,5,22,1,0,0,2,0
ok said got wisdom teeth hidden insid mayb need remov,57,15,77,1,1,1,5,0
pl pl drink plenti plenti water,31,7,37,1,0,0,0,0
queen go royal wed,55,15,71,3,0,0,3,0
lag sad part keep touch thank skype,56,18,74,2,0,0,3,0
ok lor go tog lor,19,7,28,1,0,0,3,0
two team wait player,29,6,34,1,0,0,0,0
send copi da report,24,8,35,1,0,0,1,0
swhrt dey hope ur ok tot day love miss take care,49,16,67,1,1,1,5,0
ok da alreadi plan wil pick,30,9,41,2,0,0,3,0
urgent pleas call abta complimentari spanish holiday cash await collect sae cs box po ez ppm,88,19,144,2,9,26,6,1
sorri call later meet,26,7,33,1,0,0,2,0
realli need shit tomorrow know awak like,65,17,83,1,1,1,1,0
good regist vote,29,8,38,2,0,0,3,0
hmm ok stay like hour co eye realli sore,45,15,61,1,0,0,3,0
dear got bu directli calicut,27,6,32,1,0,0,0,0
mm umma ask vava also come tell play later togeth,50,13,62,1,0,0,0,0
well gener price lt gt oz let know much want,56,17,79,1,0,0,9,0
sorri call later,17,5,22,1,0,0,2,0
moment day valu morn bring hope afternoon bring faith even bring luv night bring rest wish find today good morn,130,29,158,1,0,0,7,0
lt gt jetton ave forgot,25,8,37,1,0,0,5,0
ok come home,17,6,23,1,0,0,2,0
use foreign stamp countri,35,8,43,1,0,0,1,0
doubl min txt month free bluetooth orang avail soni nokia motorola phone call mobileupd call optout dx,108,23,149,3,6,16,4,1
sorri lot friend friend stuff talk actual guy want buy,81,26,108,1,0,0,7,0
free st week nokia tone ur mob everi week txt nokia get txting tell ur mate www getz co uk pobox wq norm tone,105,31,158,2,8,19,6,1
want funk ur fone weekli new tone repli tone text www rington co uk origin best tone gbp network oper rate appli,120,30,155,3,3,3,6,1
cmon babe make horni turn txt fantasi babe im hot sticki need repli cost cancel send stop,102,27,148,4,3,4,11,1
come tomorrow di,19,5,23,1,0,0,0,0
wyli updat weed dealer carlo went freedom class lunsford,66,15,81,1,0,0,1,0
happi babi alright take job hope fine send kiss make smile across sea kiss kiss,109,31,154,5,0,0,11,0
movi juz last minut decis mah juz watch lar tot interest,63,16,85,2,1,1,2,0
enjoy semest take care brother,44,9,54,2,0,0,2,0
import inform orang user xxxxxx today ur lucki day find log onto http www urawinn com fantast prizeawait,121,25,157,2,3,6,9,1
get door,16,6,22,1,0,0,2,0
let use next week princess,25,6,34,1,0,0,3,0
go home first lar wait lor put stuff first,46,15,69,1,1,1,4,0
want kfc tuesday buy meal gravi mark,49,13,74,4,4,4,5,0
da stupid da alway send like believ messag pandi mental,78,20,102,1,0,0,9,0
oi gon na ring,18,5,22,1,0,0,0,0
miss call alert number call left messag,49,10,72,3,1,11,2,1
attend noth,26,6,32,1,0,0,1,0
ard like dat lor juz meet mrt station dun haf come,53,16,77,2,1,3,2,0
dear sleep,19,6,26,1,0,0,2,0
er mw im fill tuth aight,23,7,29,1,0,0,0,0
offic around pm go hospit,39,10,52,2,1,1,2,0
actual wait week start put ad,47,11,60,1,1,1,2,0
anyth lor go go lor,32,10,44,1,0,0,3,0
free sat rite wan watch infern affair wif darren mayb xy,57,17,77,2,1,1,2,0
plz note anyon call mobil co amp ask type lt gt lt gt disconnect call coz iz attempt terrorist make use sim card itz confirmd nokia motorola verifi cnn ibn,186,54,263,4,0,0,23,0
yo around friend mine lookin pick later tonight,51,14,65,2,0,0,2,0
stupid auto correct phone,26,6,31,1,0,0,0,0
doubl evict week spiral michael good riddanc,59,12,73,1,0,0,2,0
world suffer lot violenc bad peopl silenc good peopl,87,21,115,2,0,0,8,0
ok that cool either raglan rd edward rd behind cricket ground gim ring ur closebi see tuesday,102,24,131,4,0,0,5,0
buy one egg da pleas,22,7,31,1,0,0,4,0
start skye,20,5,24,1,0,0,0,0
bookedth hut also time way,54,15,71,3,0,0,3,0
sever sir,18,5,23,1,0,0,1,0
realli pig leh sleep much dad wake smth eat lunch today,56,17,79,2,2,3,2,0
home pleas call,18,6,24,2,0,0,2,0
love hope anyth drastic dare sell pc phone,70,19,97,2,0,0,8,0
reach home tire come tomorro,50,14,71,6,0,0,5,0
freemsg record indic may entitl pound accid claim free repli ye msg opt text stop,120,30,157,3,1,4,3,1
win music gift voucher everi week start txt word draw tsc www idew com skillgam winaweek age ppermesssubscript,116,24,160,2,5,14,5,1
life style garment account pleas,32,6,38,1,0,0,1,0
lol wtf random btw lunch break,35,9,44,2,0,0,1,0
sez how de arab boy hope good give love evri love ya eshxxxxxxxxxxx,64,18,88,2,2,2,3,0
lay man let know miss thought great day send bimbo ugo number ill appreci safe,118,33,155,5,0,0,6,0
detroit home snow enjoy,27,7,36,3,0,0,3,0
show ur colour euro offer get england flag lion tone ur phone click follow servic messag info,96,22,135,4,5,8,7,1
oki,4,1,7,1,0,0,3,0
aight chillin friend room text way,53,18,71,1,0,0,4,0
toshiba porteg gd,19,5,27,1,1,3,1,0
well welp sort semiobscur internet thing,41,9,49,1,0,0,0,0
text pass collect polyphon rington normal gpr charg appli enjoy tone,82,16,105,3,1,5,2,1
accordingli repeat text word ok mobil phone send,59,14,74,2,0,0,2,1
loosu go hospit de dont let careless,36,9,46,2,0,0,2,0
much eighth,18,5,23,1,0,0,1,0
omg joanna freak look thru friend find photo ask stuff myspac even log like year,139,39,183,4,0,0,8,0
send ur birthdat month year tel ur life partner name method calcul repli must,92,23,118,3,0,0,5,0
juz havent woke bit blur blur dad went liao cant cum oso,63,20,92,2,0,0,10,0
cloth jewelri trip,30,6,38,1,0,0,3,0
block breaker come delux format new featur great graphic mobil buy repli get bbdelux take challeng,126,27,157,2,1,1,2,1
aah cuddl would lush need lot tea soup kind fumbl,66,19,87,3,0,0,4,0
import inform orang user today lucki day find log onto http www urawinn com fantast surpris await,120,25,152,2,2,2,9,1
late,21,8,29,2,0,0,1,0
sad stori man last week day wife nt wish parent forgot kid went work even colleagu wish,112,35,154,5,0,0,8,0
plan famili set stone,35,9,45,1,0,0,1,0
pl dont forget studi,20,5,24,1,0,0,0,0
never believ actual got taunton wow,55,14,69,2,0,0,2,0
den weekday got special price haiz cant eat liao cut nail oso muz wait finish drivin wat lunch still muz eat wat,103,25,141,1,0,0,13,0
broke list reason nobodi town tell sarcast faggi,89,26,114,1,0,0,3,0
lt decim gt common car better buy china asia find less expens holla,98,30,132,3,0,0,7,0
greatest test courag earth bear defeat without lose heart gn tc,67,16,85,1,0,0,4,0
sorri im stil fuck last nite went tobe got work,52,14,75,1,3,7,0,0
hey what plan sat,24,7,32,1,0,0,1,0
beauti sleep help ur pimpl,30,7,37,1,0,0,1,0
great hope use connect mode men also co never know old friend lead today,98,24,122,2,0,0,1,0
natalja invit friend repli ye see www sm ac nat stop send stop frnd,82,25,136,3,5,21,12,1
get,15,4,19,1,0,0,1,0
kind miss train co asthma attack nxt one half hr drive sure park,81,22,106,3,0,0,4,0
ball move lot spin last difficult bat,50,14,67,1,0,0,5,0
haiyoh mayb hamster jealou million,41,8,51,1,0,0,3,0
pleas send aunti number,32,9,40,1,0,0,1,0
glad follow dream,31,8,40,2,0,0,3,0
reach home final,21,5,28,1,0,0,4,0
urgent import inform user today lucki day find log onto http www urawinn com fantast surpris await,124,26,163,4,2,3,10,1
winner valu network custom select receivea prize reward claim call claim code kl valid hour,106,23,158,4,4,19,6,1
wn hurt prsn close fight wit dem coz somtim di fight save relat bt quiet leav nothin relat gud eveb,113,32,152,2,1,1,6,0
call,11,4,17,1,0,0,3,0
scienc tell chocol melt sunlight pleas walk sunlight bcoz want loss sweet friend,110,26,138,3,0,0,6,0
ye come nyc audiit tri reloc,47,12,60,2,0,0,2,0
pock,23,6,28,1,0,0,0,0
congrat great want tell tell score co might make relax motiv thank share,111,29,142,4,0,0,4,0
wud never mind dont miss dont need wil realli hurt wen need amp dont tell take care,92,32,139,1,0,0,16,0
hey mr what name bill brison book one languag word,64,16,80,1,0,0,0,0
okay good problem thanx,25,6,34,1,0,0,4,0
inform ikea spell cap yell thought left sit bed among mess came said go got home class pleas tri bullshit make want listen less,223,60,290,6,0,0,9,0
call done,17,6,25,1,0,0,4,0
,3,3,5,1,0,0,2,0
best watch say caus get drunk motherfuck,51,13,63,1,0,0,0,0
kit strip bill netcollex ltd po box ig oja,48,13,74,2,3,9,3,1
hmv bonu special pound genuin hmv voucher answer easi question play send hmv info www percent real com,112,26,155,4,4,12,7,1
pleas call immedi urgent messag wait,58,12,81,1,1,11,0,1
thesmszon com let send free anonym mask messag im send messag see potenti abus,111,23,138,2,0,0,8,1
well done costa del sol holiday await collect call toclaim sae tc pobox stockport sk xh cost pm max min,98,23,162,4,8,26,12,1
hurt teas make cri end life die plz keep one rose grave say stupid miss nice day bslvyl,108,35,153,1,0,0,11,0
erm woodland avenu somewher get parish magazin telephon number,82,17,104,2,0,0,6,0
ta job avail let know pleas co realli need start work,66,16,82,2,0,0,1,0
aiyar hard type later free tell call scold tell,54,17,74,2,1,1,2,0
yup free,9,4,15,1,0,0,4,0
good good billi mate gone jog enjoy concert,60,13,77,3,0,0,5,0
yo come carlo soon,30,8,37,1,0,0,0,0
awww dat sweet think someth nice time tonight ill probabl txt later co im lone xxx,97,27,129,3,0,0,5,0
guess useless call someth import,43,9,54,1,1,1,1,0
ha ha pop loo hello ed hello,46,14,63,2,0,0,4,0
dint tell anyth angri told abi,50,15,66,2,0,0,2,0
someon know ask date servic contact cant guess call reveal po box wu,90,23,134,4,5,17,3,1
happen waxsto wat want come ill get medic insur abl deliv basic care current shop right medic insur give til friday morn that see major person guid right insur,258,65,329,6,1,1,9,0
keep ten rs shelf buy two egg,28,10,40,1,0,0,3,0
well babe swollen gland throat end,62,18,86,1,0,0,6,0
ur chang da report big co alreadi made chang da previou report,62,15,82,2,2,2,3,0
captain room,18,5,24,1,0,0,2,0
speak bcaz mobil problem listen cann listen voic call later,84,24,111,3,0,0,6,0
hiya stu wot im much trubl home moment evon hate even wot hell av done wont tell text bck pleas luv dan,115,37,156,3,1,1,3,0
take mokka player,26,7,36,1,0,0,5,0
still play gautham,29,6,35,1,0,0,1,0
hey mr go sea view coupl gay mean game give bell ya finish,84,26,112,2,0,0,1,0
jason say gon na around around lt gt,50,17,72,1,0,0,8,0
sorri abl get see morn,44,14,61,3,0,0,3,0
aight well keep inform,23,5,27,1,0,0,0,0
number sir,24,7,30,1,0,0,0,0
search good dual sim mobil pa,37,9,46,1,0,0,1,0
seem unnecessarili hostil,29,4,32,1,0,0,0,0
dude got haircut breezi,34,9,43,2,0,0,1,0
congrat mobil videophon call videochat wid ur mate play java game dload polyh music nolin rentl bx ip pm,105,24,161,8,7,21,10,1
appl day doctor tulsi leaf day cancer lemon day fat cup milk day bone problm litr watr day diseas snd th care,110,29,154,4,6,6,18,0
thought king hill thing,43,12,55,1,0,0,1,0
nope come onlin,20,6,27,1,0,0,3,0
also tell said happi birthday,29,7,35,1,0,0,0,0
bishan lei tot say lavend,25,7,39,1,0,0,4,0
boo time get suppos take shop today,52,14,70,3,0,0,4,0
sound like manki scous boy steve like travel da bu home wot inmind recreat di eve,89,23,115,2,1,1,4,0
fyi take quick shower epsilon like lt gt min,47,15,68,1,0,0,7,0
tuesday night real,21,7,29,1,1,1,0,0
ye appt,21,6,27,1,0,0,1,0
got outta class gon na go gym,27,7,34,1,0,0,1,0
want sent lt gt mesag today that sorri hurt,46,14,66,2,0,0,7,0
write wat,13,4,21,1,0,0,2,0
ha say read anyth way seem like judgement save friday pub,102,30,139,3,1,1,10,0
valentin game send di msg ur friend answer someon realli love que colour suit best,108,28,150,7,1,1,9,0
hi ask waheeda fathima leav,39,9,49,1,0,0,3,0
enjoy urself tmr,14,3,19,1,0,0,3,0
still around could use half th,30,9,40,2,1,1,2,0
secret admir look make contact find reveal think ur special call,94,25,145,1,3,24,3,1
give us back id proof lt gt rs wont allow work come home within day,81,25,113,3,0,0,7,0
bot note oredi co juz rem got,27,9,44,1,0,0,6,0
ye rent expens way save,39,11,51,2,0,0,2,0
night end anoth day morn come special way may smile like sunni ray leav worri blue blue bay gud mrng,123,31,156,3,0,0,3,0
how pain dear smile,25,8,33,1,0,0,2,0
fun fact although would think armand would eventu build toler shit consid much smoke get fuck like hit,126,28,157,1,1,1,2,0
import inform orang user xxxxxxx today lucki day find log onto http www urawinn com fantast surpris await,127,26,163,2,3,6,9,1
sorri help,23,8,32,1,0,0,3,0
great send account number,36,9,46,2,0,0,2,0
hellogorg how fone charg lst nitw wen texd hopeu ad nice wkend im sure lookin ward mrw luv jaz,104,32,142,3,3,3,4,0
date servic ask contact someon shi call reveal pobox uz,81,21,126,3,6,20,3,1
send content page,25,6,36,1,0,0,3,0
night sweet sleep well see exorc emili rose may never sleep hug snog,90,23,117,3,0,0,5,0
think got think use got good ni,66,20,94,1,1,1,9,0
right second got ta hit peopl first,41,11,52,1,0,0,2,0
evri emot dsn hav word evri wish dsn hav prayr smile world wit othrwis even drop tear dsn lik stay wit happi good morn keep smile,132,39,180,1,1,1,15,0
rememb,31,8,39,2,0,0,1,0
ujhhhhhhh comput ship address sandiago parantella lane wtf poop,72,13,87,3,0,0,3,0
mm ye dear look hug,34,11,47,2,0,0,3,0
like di sweater fr mango size alreadi irrit,56,14,70,1,0,0,1,0
number gon na massiv pain ass rather get involv possibl,91,27,121,1,2,2,3,0
anytim lor,10,2,14,1,0,0,3,0
want new video handset time network min unlimit text camcord repli call del sat,93,23,135,5,2,14,4,1
puriti friendship two smile read forward messag smile see name gud evng,117,24,142,2,0,0,3,0
ur balanc next question complet landmark big bob barri ben text good luck,83,25,133,3,2,8,13,1
fine absolutli fine,19,4,23,1,0,0,2,0
sure consent form,47,17,64,1,0,0,3,0
ur tonex subscript renew charg choos poli month www clubz co uk bill msg,109,24,146,3,3,5,8,1
prize go anoth custom www biz min polo ltd suit london hl pleas call back busi,99,32,144,2,5,10,9,1
much torch ja,18,6,25,1,1,1,1,0
noth dinner us,35,9,45,1,0,0,2,0
check,28,8,36,2,0,0,1,0
done internet connect slow send tri later first thing tomo,78,20,101,2,0,0,2,0
mathew tait edward anderson,32,7,38,1,0,0,0,0
yeah sure thing mate haunt got stuff sort im go sound anyway promot hex way dont know number joke,112,28,142,3,0,0,3,0
need lar go engin co si art today,36,12,51,2,0,0,4,0
thank honey still heard anyth leav bit longer crowd tri later great advic thank hope cardiff still,128,31,163,1,1,1,3,0
want new nokia colour phone deliv tomorrow free minut mobil free text free camcord repli call,105,24,156,2,4,20,3,1
im snowboard trip wonder plan get everyon togeth befor go meet greet kind affair cheer,111,26,146,3,0,0,8,0
watch live,19,7,27,1,0,0,4,0
see christmassi,32,8,41,1,0,0,3,0
readi lt gt,12,6,25,1,0,0,8,0
know god creat gap finger one made come amp fill gap hold hand love,114,29,151,2,0,0,9,0
greatest test courag earth bear defeat without lose heart gn tc,67,16,85,1,0,0,4,0
new year plan,24,6,30,1,0,0,1,0
recpt order rington order process,53,11,72,3,2,2,6,1
baaaaaaaab wake miss crave need,42,12,60,5,0,0,5,0
got messag ignor ye shop,57,14,74,3,0,0,4,0
dear mood cant drive brother drive,44,13,61,2,0,0,4,0
dad get back,17,5,22,1,0,0,1,0
tell shola pleas go colleg medicin visit academ depart tell academ secretari current situat ask transfer ask someon check sagamu thing lautech vital complet medic educ nigeria less expens much less expens unless get citizen rate new zealand,333,70,408,5,0,0,6,0
ye finish watch day live love,44,11,56,2,0,0,2,0
juz go googl search qet,21,6,31,1,1,1,3,0
mani time lose best one bcoz,35,10,45,1,0,0,0,0
good friend care close friend understand true friend stay forev beyond word beyond time gud ni,109,22,138,2,1,1,7,0
get back home,19,4,22,1,0,0,0,0
sorri call later lt gt min,25,8,38,1,0,0,7,0
dun need use dial juz open da browser surf,39,12,53,1,0,0,3,0
